seccion,tipo_eleccion,distrito,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND,total_pvem_pt_morena,total_pvem_morena,total_pan_pri,votos_validos,cand_no_reg,votos_nulos,total_votos,lista_nominal,participacion
0124,gubernatura,DT-03,8.0,12.0,115.0,22.0,14.0,10.0,404.0,,457.0,,20.0,602,0,33,635,1080,0.5879629629629629
0125,gubernatura,DT-02,6.0,7.0,47.0,30.0,22.0,12.0,769.0,,831.0,,22.0,912,0,23,935,1530,0.6111111111111112
0126,gubernatura,DT-01,7.0,4.0,42.0,27.0,14.0,8.0,486.0,,552.0,,11.0,613,0,25,638,992,0.6431451612903226
0127,gubernatura,DT-02,2.0,13.0,30.0,28.0,12.0,290.0,300.0,,366.0,,15.0,701,0,9,710,1261,0.56304520222046
0128,gubernatura,DT-01,0.0,16.0,35.0,9.0,12.0,12.0,736.0,,769.0,,17.0,833,0,28,861,1468,0.5865122615803815
0129,gubernatura,DT-02,3.0,14.0,55.0,25.0,20.0,14.0,699.0,,815.0,,17.0,901,1,24,926,1731,0.534950895436164
0130,gubernatura,DT-03,5.0,23.0,230.0,36.0,21.0,22.0,647.0,,726.0,,28.0,1006,0,51,1057,1990,0.5311557788944724
0131,gubernatura,DT-03,3.0,11.0,90.0,22.0,40.0,8.0,479.0,,558.0,,14.0,670,0,30,700,1702,0.4112808460634548
0132,gubernatura,DT-02,6.0,13.0,187.0,33.0,30.0,14.0,723.0,,825.0,,19.0,1045,0,31,1076,2009,0.5355898456943753
0133,gubernatura,DT-02,5.0,21.0,114.0,30.0,20.0,10.0,416.0,,484.0,,26.0,634,0,12,646,1227,0.5264873675631622
0134,gubernatura,DT-02,10.0,18.0,77.0,30.0,16.0,24.0,643.0,,730.0,,28.0,859,0,28,887,1882,0.47130712008501596
0135,gubernatura,DT-01,3.0,7.0,25.0,6.0,5.0,4.0,211.0,,225.0,,10.0,264,0,17,281,511,0.5499021526418787
0136,gubernatura,DT-03,5.0,26.0,100.0,23.0,10.0,11.0,329.0,,384.0,,31.0,526,0,57,583,1264,0.4612341772151899
0137,gubernatura,DT-03,1.0,19.0,55.0,54.0,23.0,16.0,468.0,,584.0,,20.0,675,0,33,708,1223,0.5789043336058871
0138,gubernatura,DT-03,6.0,28.0,80.0,35.0,21.0,14.0,570.0,,671.0,,37.0,802,1,36,839,1525,0.5501639344262295
