seccion,tipo_eleccion,distrito,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND,total_pvem_pt_morena,total_pvem_morena,total_pan_pri,votos_validos,cand_no_reg,votos_nulos,total_votos,lista_nominal,participacion
0084,diputaciones,DTO-03,1.0,23.0,164.0,47.0,29.0,47.0,590.0,,,,,901,4,31,936,1562,0.5992317541613317
0085,diputaciones,DTO-03,1.0,24.0,192.0,48.0,19.0,47.0,441.0,,,,,772,4,44,820,1313,0.6245239908606245
0086,diputaciones,DTO-01,24.0,60.0,195.0,94.0,49.0,80.0,1245.0,,,1350.0,,1758,11,85,1854,3262,0.5683629675045984
0087,diputaciones,DTO-03,4.0,16.0,207.0,58.0,32.0,42.0,744.0,,,,,1103,3,78,1184,2324,0.5094664371772806
0088,diputaciones,DTO-03,18.0,36.0,263.0,74.0,26.0,72.0,706.0,,,,,1195,0,62,1257,1932,0.6506211180124224
0089,diputaciones,DTO-03,0.0,21.0,189.0,54.0,25.0,20.0,687.0,,,,,996,0,78,1074,2003,0.5361957064403395
0090,diputaciones,DTO-02,7.0,10.0,112.0,74.0,17.0,5.0,566.0,,,,,791,0,61,852,1334,0.638680659670165
0091,diputaciones,DTO-02,2.0,13.0,186.0,46.0,12.0,14.0,461.0,,,,,734,0,67,801,1367,0.5859546452084857
0092,diputaciones,DTO-02,2.0,5.0,65.0,60.0,26.0,13.0,627.0,,,,,798,0,95,893,1572,0.5680661577608143
0093,diputaciones,DTO-02,6.0,22.0,78.0,62.0,14.0,6.0,499.0,,,,,687,1,22,710,1174,0.6047700170357752
0094,diputaciones,DTO-02,3.0,11.0,58.0,21.0,14.0,6.0,281.0,,,,,394,0,24,418,770,0.5428571428571428
0095,diputaciones,DTO-02,2.0,7.0,109.0,34.0,12.0,14.0,607.0,,,,,785,0,70,855,1503,0.5688622754491018
0096,diputaciones,DTO-02,2.0,43.0,148.0,16.0,9.0,5.0,241.0,,,,,464,0,44,508,914,0.5557986870897156
0097,diputaciones,DTO-02,8.0,14.0,155.0,20.0,23.0,7.0,354.0,,,,,581,0,61,642,1191,0.5390428211586902
0098,diputaciones,DTO-02,3.0,6.0,80.0,37.0,15.0,8.0,400.0,,,,,549,0,97,646,1628,0.3968058968058968
0099,diputaciones,DTO-02,4.0,26.0,112.0,62.0,24.0,12.0,496.0,,,,,736,0,75,811,1849,0.43861546782044347
0100,diputaciones,DTO-02,4.0,28.0,176.0,44.0,13.0,12.0,648.0,,,,,925,0,112,1037,2130,0.4868544600938967
0101,diputaciones,DTO-02,3.0,21.0,71.0,50.0,20.0,18.0,704.0,,,,,887,0,93,980,1625,0.6030769230769231
0102,diputaciones,DTO-01,2.0,10.0,38.0,19.0,5.0,8.0,438.0,,,465.0,,528,0,28,556,938,0.5927505330490405
0103,diputaciones,DTO-02,5.0,18.0,243.0,17.0,20.0,21.0,542.0,,,,,866,0,64,930,1763,0.5275099262620533
0104,diputaciones,DTO-02,1.0,6.0,114.0,18.0,7.0,11.0,358.0,,,,,515,0,50,565,1025,0.551219512195122
0105,diputaciones,DTO-02,11.0,54.0,220.0,44.0,21.0,24.0,476.0,,,,,850,0,83,933,1692,0.5514184397163121
0106,diputaciones,DTO-02,6.0,30.0,99.0,32.0,27.0,12.0,431.0,,,,,637,0,83,720,1226,0.5872756933115824
0107,diputaciones,DTO-02,3.0,7.0,43.0,69.0,9.0,6.0,706.0,,,,,843,0,56,899,1354,0.6639586410635155
0108,diputaciones,DTO-02,6.0,21.0,49.0,18.0,5.0,6.0,233.0,,,,,338,0,26,364,702,0.5185185185185185
0109,diputaciones,DTO-03,2.0,4.0,126.0,14.0,11.0,8.0,397.0,,,,,562,0,44,606,1109,0.5464382326420198
0110,diputaciones,DTO-02,12.0,19.0,78.0,74.0,40.0,36.0,690.0,,,,,949,0,128,1077,2563,0.4202106905969567
0111,diputaciones,DTO-02,1.0,3.0,51.0,27.0,9.0,5.0,383.0,,,,,479,0,21,500,768,0.6510416666666666
0112,diputaciones,DTO-01,1.0,8.0,32.0,22.0,11.0,6.0,550.0,,,590.0,,648,0,13,661,1082,0.61090573012939
0113,diputaciones,DTO-01,1.0,2.0,54.0,17.0,16.0,7.0,361.0,,,387.0,,467,0,30,497,855,0.5812865497076023
0114,diputaciones,DTO-01,1.0,16.0,116.0,18.0,22.0,14.0,324.0,,,350.0,,519,0,33,552,972,0.5679012345679012
0115,diputaciones,DTO-01,3.0,10.0,53.0,16.0,12.0,10.0,343.0,,,372.0,,460,0,17,477,913,0.5224534501642936
0116,diputaciones,DTO-01,1.0,9.0,54.0,22.0,7.0,15.0,268.0,,,295.0,,381,0,9,390,758,0.5145118733509235
0117,diputaciones,DTO-02,3.0,6.0,39.0,19.0,8.0,4.0,243.0,,,,,322,0,17,339,466,0.7274678111587983
0118,diputaciones,DTO-02,1.0,12.0,47.0,50.0,11.0,9.0,362.0,,,,,492,2,38,532,1001,0.5314685314685315
0119,diputaciones,DTO-02,10.0,13.0,99.0,64.0,11.0,221.0,262.0,,,,,680,0,59,739,1240,0.5959677419354839
0120,diputaciones,DTO-03,3.0,11.0,105.0,24.0,14.0,8.0,546.0,,,,,711,0,41,752,1355,0.5549815498154982
0121,diputaciones,DTO-03,3.0,9.0,103.0,28.0,21.0,10.0,524.0,,,,,698,0,77,775,1550,0.5
0122,diputaciones,DTO-03,2.0,19.0,146.0,14.0,28.0,13.0,785.0,,,,,1007,0,81,1088,2010,0.5412935323383085
0123,diputaciones,DTO-03,2.0,7.0,159.0,19.0,13.0,10.0,353.0,,,,,563,0,35,598,1176,0.5085034013605442
0124,diputaciones,DTO-03,4.0,19.0,164.0,15.0,6.0,10.0,368.0,,,,,586,0,49,635,1080,0.5879629629629629
0125,diputaciones,DTO-02,5.0,5.0,50.0,41.0,12.0,21.0,734.0,,,,,868,0,67,935,1530,0.6111111111111112
0126,diputaciones,DTO-01,3.0,6.0,47.0,23.0,12.0,12.0,470.0,,,497.0,,577,0,35,612,992,0.6169354838709677
0127,diputaciones,DTO-02,1.0,14.0,35.0,32.0,107.0,19.0,543.0,,,,,751,0,47,798,1261,0.6328310864393338
0128,diputaciones,DTO-01,1.0,18.0,40.0,20.0,16.0,17.0,696.0,,,717.0,,809,0,67,876,1468,0.5967302452316077
0129,diputaciones,DTO-02,5.0,15.0,59.0,46.0,12.0,24.0,681.0,,,,,842,0,90,932,1731,0.53841709994223
0130,diputaciones,DTO-03,5.0,23.0,277.0,37.0,16.0,18.0,616.0,,,,,992,0,51,1043,1990,0.5241206030150753
0131,diputaciones,DTO-03,1.0,10.0,132.0,23.0,17.0,7.0,451.0,,,,,641,0,62,703,1702,0.41304347826086957
0132,diputaciones,DTO-02,11.0,16.0,210.0,41.0,24.0,17.0,691.0,,,,,1010,0,69,1079,2009,0.5370831259333001
0133,diputaciones,DTO-02,7.0,27.0,134.0,25.0,13.0,17.0,500.0,,,,,723,0,32,755,1227,0.615321923390383
0134,diputaciones,DTO-02,9.0,21.0,73.0,41.0,15.0,26.0,640.0,,,,,825,0,56,881,1882,0.4681190223166844
0135,diputaciones,DTO-01,4.0,9.0,39.0,4.0,4.0,5.0,209.0,,,216.0,,277,0,19,296,511,0.5792563600782779
0136,diputaciones,DTO-03,7.0,25.0,130.0,20.0,10.0,15.0,311.0,,,,,518,3,64,585,1264,0.46281645569620256
0137,diputaciones,DTO-03,1.0,19.0,107.0,57.0,22.0,18.0,419.0,,,,,643,0,64,707,1223,0.5780866721177432
0138,diputaciones,DTO-03,4.0,32.0,123.0,44.0,17.0,20.0,512.0,,,,,752,0,86,838,1525,0.5495081967213115
0139,diputaciones,DTO-03,6.0,17.0,231.0,42.0,9.0,15.0,610.0,,,,,930,0,74,1004,1839,0.5459488852637303
0140,diputaciones,DTO-03,0.0,14.0,81.0,42.0,16.0,14.0,390.0,,,,,557,1,53,611,1098,0.5564663023679417
0141,diputaciones,DTO-01,6.0,6.0,65.0,20.0,10.0,7.0,490.0,,,515.0,,609,0,38,647,1372,0.4715743440233236
0142,diputaciones,DTO-02,3.0,5.0,54.0,13.0,8.0,7.0,419.0,,,,,509,0,34,543,1124,0.4830960854092527
0143,diputaciones,DTO-02,7.0,12.0,52.0,70.0,17.0,17.0,669.0,,,,,844,0,58,902,1667,0.5410917816436712
0144,diputaciones,DTO-02,16.0,28.0,106.0,23.0,20.0,297.0,791.0,,,,,1281,0,73,1354,2335,0.5798715203426125
0145,diputaciones,DTO-03,5.0,29.0,112.0,30.0,11.0,21.0,609.0,,,,,817,0,62,879,1559,0.5638229634381013
0146,diputaciones,DTO-03,2.0,28.0,191.0,45.0,14.0,17.0,622.0,,,,,919,0,82,1001,1963,0.5099337748344371
0147,diputaciones,DTO-03,7.0,14.0,263.0,44.0,16.0,23.0,594.0,,,,,961,2,85,1048,2060,0.5087378640776699
0148,diputaciones,DTO-02,14.0,25.0,82.0,66.0,32.0,46.0,977.0,,,,,1242,1,74,1317,2364,0.5571065989847716
0149,diputaciones,DTO-03,6.0,16.0,135.0,19.0,62.0,15.0,442.0,,,,,695,2,61,758,1358,0.5581737849779087
0150,diputaciones,DTO-03,5.0,14.0,75.0,25.0,12.0,20.0,315.0,,,,,466,0,62,528,1172,0.45051194539249145
0151,diputaciones,DTO-03,5.0,14.0,185.0,43.0,14.0,23.0,579.0,,,,,863,0,76,939,1800,0.5216666666666666
0152,diputaciones,DTO-03,3.0,19.0,200.0,89.0,30.0,42.0,989.0,,,,,1372,2,74,1448,2643,0.5478622777147181
0153,diputaciones,DTO-02,2.0,5.0,47.0,28.0,5.0,11.0,268.0,,,,,366,0,36,402,769,0.5227568270481144
0154,diputaciones,DTO-02,30.0,31.0,65.0,64.0,18.0,15.0,882.0,,,,,1105,0,69,1174,2515,0.46679920477137177
0155,diputaciones,DTO-02,19.0,29.0,144.0,72.0,31.0,50.0,1085.0,,,,,1430,0,95,1525,2846,0.5358397751229796
0156,diputaciones,DTO-02,17.0,16.0,72.0,32.0,19.0,19.0,601.0,,,,,776,0,85,861,1690,0.5094674556213018
0157,diputaciones,DTO-01,44.0,14.0,49.0,50.0,9.0,18.0,952.0,,,1019.0,,1153,0,62,1215,2090,0.5813397129186603
